(335.0, -175.0)
(334.0, -217.0)
(276.0, -180.0)
(295.0, -218.0)
(237.0, -214.0)
(247.0, -254.0)
(186.0, -244.0)
(178.0, -291.0)
(134.0, -238.0)
(86.0, -253.0)
(118.0, -195.0)
(80.0, -164.0)
(135.0, -142.0)
(106.0, -98.0)
(169.0, -100.0)
(169.0, -45.0)
(207.0, -91.0)
(238.0, -44.0)
(269.0, -88.0)
(294.0, -36.0)
(330.0, -82.0)
(337.0, -21.0)
(391.0, -47.0)
(351.0, 5.0)
(407.0, 17.0)
(350.0, 43.0)
(377.0, 89.0)
(316.0, 68.0)
(296.0, 116.0)
(261.0, 81.0)
(231.0, 123.0)
(205.0, 84.0)
(176.0, 122.0)
(151.0, 80.0)
(109.0, 111.0)
(108.0, 58.0)
(61.0, 74.0)
(79.0, 22.0)
(18.0, 3.0)
(46.0, -60.0)
(-10.0, -69.0)
(16.0, -120.0)
(-37.0, -144.0)
(3.0, -175.0)
(-45.0, -201.0)
(-13.0, -248.0)
(-65.0, -246.0)
(-52.0, -303.0)
(-106.0, -267.0)
(-112.0, -328.0)
(-151.0, -269.0)
(-200.0, -311.0)
(-199.0, -249.0)
(-256.0, -255.0)
(-236.0, -209.0)
(-287.0, -189.0)
(-260.0, -142.0)
(-315.0, -120.0)
(-278.0, -80.0)
(-331.0, -73.0)
(-310.0, -17.0)
(-351.0, -54.0)
(-391.0, -21.0)
(-383.0, -72.0)
(-435.0, -66.0)
(-404.0, -117.0)
(-457.0, -146.0)
(-407.0, -197.0)
(-467.0, -220.0)
(-428.0, -269.0)
(-477.0, -268.0)
(-466.0, -313.0)
(-515.0, -266.0)
(-560.0, -288.0)
(-536.0, -217.0)
(-587.0, -191.0)
(-545.0, -141.0)
(-584.0, -107.0)
(-541.0, -68.0)
(-578.0, -20.0)
(-533.0, 7.0)
(-584.0, 53.0)
(-532.0, 79.0)
(-585.0, 127.0)
(-536.0, 161.0)
(-583.0, 204.0)
(-525.0, 210.0)
(-548.0, 260.0)
(-486.0, 238.0)
(-455.0, 284.0)
(-428.0, 250.0)
(-385.0, 278.0)
(-375.0, 242.0)
(-326.0, 252.0)
(-350.0, 230.0)
(-371.0, 162.0)
(-388.0, 192.0)
(-431.0, 132.0)
(-462.0, 131.0)
(-348.0, 101.0)
(-347.0, 62.0)
(-270.0, 140.0)
(-239.0, 122.0)
(-168.0, 172.0)
(-167.0, 135.0)
(-110.0, 166.0)
(-78.0, 127.0)
(-30.0, 175.0)
(7.0, 145.0)
(11.0, 198.0)
(64.0, 174.0)
(68.0, 231.0)
(110.0, 202.0)
(111.0, 267.0)
(159.0, 235.0)
(167.0, 302.0)
(212.0, 258.0)
(241.0, 321.0)
(250.0, 250.0)
(293.0, 276.0)
(279.0, 225.0)
(328.0, 247.0)
(328.0, 187.0)
(374.0, 252.0)
(405.0, 206.0)
(419.0, 275.0)
(467.0, 242.0)
(472.0, 303.0)
(516.0, 260.0)
(532.0, 315.0)
(564.0, 261.0)
(596.0, 304.0)
(582.0, 234.0)
(631.0, 222.0)
(581.0, 196.0)
(616.0, 149.0)
(552.0, 166.0)
(558.0, 119.0)
(500.0, 145.0)
(528.0, 105.0)
(477.0, 66.0)
(537.0, 67.0)
(518.0, 25.0)
(568.0, 46.0)
(558.0, 4.0)
(615.0, 13.0)
(592.0, -11.0)
(632.0, -27.0)
(599.0, -43.0)
(569.0, -108.0)
(558.0, -71.0)
(532.0, -153.0)
(485.0, -133.0)
(608.0, -238.0)
(567.0, -241.0)
(541.0, -341.0)
(534.0, -302.0)
(445.0, -291.0)
(479.0, -271.0)
(428.0, -229.0)
(425.0, -188.0)
